Uniprot Accession	Description	Gene name	MW [kDa]	COG class	Annotated functional COG group (description)	Annotated functional COG class
P0A9F6	Glycine cleavage system transcriptional activator OS=Escherichia coli (strain K12) GN=gcvA PE=1 SV=1	gcvA	34.36211053	K	Transcription	INFORMATION STORAGE AND PROCESSING
P16528	Acetate operon repressor OS=Escherichia coli (strain K12) GN=iclR PE=1 SV=1	iclR	29.7023942	K	Transcription	INFORMATION STORAGE AND PROCESSING
P0A9F9	HTH-type transcriptional regulator metR OS=Escherichia coli (strain K12) GN=metR PE=4 SV=1	metR	35.58855525	K	Transcription	INFORMATION STORAGE AND PROCESSING
P0AFW8	Protein rof OS=Escherichia coli (strain K12) GN=rof PE=1 SV=1	rof	9.45567371	K	Transcription	INFORMATION STORAGE AND PROCESSING
P30864	Uncharacterized HTH-type transcriptional regulator yafC OS=Escherichia coli (strain K12) GN=yafC PE=1 SV=1	yafC	33.73661375	K	Transcription	INFORMATION STORAGE AND PROCESSING
P37671	HTH-type transcriptional regulator yiaJ OS=Escherichia coli (strain K12) GN=yiaJ PE=1 SV=1	yiaJ	31.02883427	K	Transcription	INFORMATION STORAGE AND PROCESSING
P31475	Uncharacterized HTH-type transcriptional regulator yieP OS=Escherichia coli (strain K12) GN=yieP PE=4 SV=3	yieP	26.04125646	K	Transcription	INFORMATION STORAGE AND PROCESSING
P0ACK5	Deoxyribose operon repressor OS=Escherichia coli (strain K12) GN=deoR PE=1 SV=1	deoR	28.51157257	KG	Transcription	INFORMATION STORAGE AND PROCESSING
P0ACK8	L-fucose operon activator OS=Escherichia coli (strain K12) GN=fucR PE=4 SV=1	fucR	27.32720472	KG	Transcription	INFORMATION STORAGE AND PROCESSING
P15082	Glucitol operon repressor OS=Escherichia coli (strain K12) GN=srlR PE=2 SV=1	srlR	28.20037293	KG	Transcription	INFORMATION STORAGE AND PROCESSING
P77721	Uncharacterized HTH-type transcriptional regulator ydjF OS=Escherichia coli (strain K12) GN=ydjF PE=1 SV=1	ydjF	28.22567774	KG	Transcription	INFORMATION STORAGE AND PROCESSING
P37338	HTH-type transcriptional repressor CsiR OS=Escherichia coli (strain K12) GN=csiR PE=1 SV=2	csiR	24.95687554	K	Transcription	INFORMATION STORAGE AND PROCESSING
P45544	HTH-type transcriptional regulator frlR OS=Escherichia coli (strain K12) GN=frlR PE=1 SV=2	frlR	27.7852581	K	Transcription	INFORMATION STORAGE AND PROCESSING
P67430	HTH-type transcriptional repressor nemR OS=Escherichia coli (strain K12) GN=nemR PE=1 SV=1	nemR	22.24311882	K	Transcription	INFORMATION STORAGE AND PROCESSING
P0AF63	HTH-type transcriptional repressor nsrR OS=Escherichia coli (strain K12) GN=nsrR PE=1 SV=1	nsrR	15.56512518	K	Transcription	INFORMATION STORAGE AND PROCESSING
P0A9U6	HTH-type transcriptional regulator puuR OS=Escherichia coli (strain K12) GN=puuR PE=1 SV=1	puuR	20.06116312	K	Transcription	INFORMATION STORAGE AND PROCESSING
P0ACI3	Xylose operon regulatory protein OS=Escherichia coli (strain K12) GN=xylR PE=4 SV=1	xylR	44.82308056	K	Transcription	INFORMATION STORAGE AND PROCESSING
P0ACM2	Uncharacterized HTH-type transcriptional regulator ydfH OS=Escherichia coli (strain K12) GN=ydfH PE=1 SV=1	ydfH	26.530475	K	Transcription	INFORMATION STORAGE AND PROCESSING
P37344	Psp operon transcriptional activator OS=Escherichia coli (strain K12) GN=pspF PE=1 SV=2	pspF	36.94519741	KT	Transcription	INFORMATION STORAGE AND PROCESSING
P0A9V5	Uncharacterized HTH-type transcriptional regulator yiaG OS=Escherichia coli (strain K12) GN=yiaG PE=4 SV=1	yiaG	11.0077774	K	Transcription	INFORMATION STORAGE AND PROCESSING
P39356	Uncharacterized transcriptional regulator yjhU OS=Escherichia coli (strain K12) GN=yjhU PE=3 SV=2	yjhU	36.07068919	K	Transcription	INFORMATION STORAGE AND PROCESSING
P77559	Uncharacterized HTH-type transcriptional regulator ynfL OS=Escherichia coli (strain K12) GN=ynfL PE=4 SV=1	ynfL	33.24240853	K	Transcription	INFORMATION STORAGE AND PROCESSING
Q46855	Uncharacterized HTH-type transcriptional regulator yqhC OS=Escherichia coli (strain K12) GN=yqhC PE=4 SV=2	yqhC	35.91553164	K	Transcription	INFORMATION STORAGE AND PROCESSING
P0A9W6	Uncharacterized protein YrbA OS=Escherichia coli (strain K12) GN=yrbA PE=1 SV=1	yrbA	9.42772188	K	Transcription	INFORMATION STORAGE AND PROCESSING
P75959	N-acetyl-D-glucosamine kinase OS=Escherichia coli (strain K12) GN=nagK PE=1 SV=1	nagK	33.0035642	KG	Transcription	INFORMATION STORAGE AND PROCESSING
P0A6R3	DNA-binding protein fis OS=Escherichia coli (strain K12) GN=fis PE=1 SV=1	fis	11.21475515	KL	Transcription	INFORMATION STORAGE AND PROCESSING
P0A7Y8	Ribonuclease P protein component OS=Escherichia coli (strain K12) GN=rnpA PE=3 SV=1	rnpA	13.76265097	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0CG19	Inactive ribonuclease PH OS=Escherichia coli (strain K12) GN=rph PE=3 SV=1	rph	24.39149325	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0A7P5	50S ribosomal protein L34 OS=Escherichia coli (strain K12) GN=rpmH PE=1 SV=1	rpmH	5.35906597	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0A937	Small protein A OS=Escherichia coli (strain K12) GN=smpA PE=1 SV=1	bamE	12.27616819	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0ACG8	Heat shock protein 15 OS=Escherichia coli (strain K12) GN=hslR PE=1 SV=1	hslR	15.46826447	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P39380	RNA 2'-phosphotransferase OS=Escherichia coli (strain K12) GN=kptA PE=3 SV=2	kptA	20.49877423	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0A8N7	Uncharacterized protein YjeA OS=Escherichia coli (strain K12) GN=poxA PE=1 SV=1	poxA	36.93439682	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P32684	Ribosomal large subunit pseudouridine synthase F OS=Escherichia coli (strain K12) GN=rluF PE=1 SV=1	rluF	32.43840849	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0A7N1	50S ribosomal protein L31 type B OS=Escherichia coli (strain K12) GN=rpmE2 PE=1 SV=1	rpmE	9.89606405	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0AGK4	RNA-binding protein YhbY OS=Escherichia coli (strain K12) GN=yhbY PE=1 SV=1	yhbY	10.75904069	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P46854	Uncharacterized N-acetyltransferase YhhY OS=Escherichia coli (strain K12) GN=yhhY PE=3 SV=1	yhhY	18.76344221	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P39332	RutC family protein yjgH OS=Escherichia coli (strain K12) GN=yjgH PE=1 SV=1	yjgH	14.56314375	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P33224	Putative acyl-CoA dehydrogenase AidB OS=Escherichia coli (strain K12) GN=aidB PE=1 SV=3	aidB	60.53275051	I	Lipid transport and metabolism	METABOLISM
Q46822	Isopentenyl-diphosphate Delta-isomerase OS=Escherichia coli (strain K12) GN=idi PE=1 SV=1	idi	20.47722272	I	Lipid transport and metabolism	METABOLISM
P27247	Phosphate acyltransferase OS=Escherichia coli (strain K12) GN=plsX PE=1 SV=2	plsX	38.17248086	I	Lipid transport and metabolism	METABOLISM
P33368	Uncharacterized oxidoreductase yohF OS=Escherichia coli (strain K12) GN=yohF PE=3 SV=2	yohF	26.91575915	IQR	Lipid transport and metabolism	METABOLISM
P76407	Lipid kinase YegS OS=Escherichia coli (strain K12) GN=yegS PE=1 SV=1	yegS	32.00034292	IR	Lipid transport and metabolism	METABOLISM
P0A9V8	Uncharacterized oxidoreductase yihU OS=Escherichia coli (strain K12) GN=yihU PE=3 SV=1	yihU	31.11996601	I	Lipid transport and metabolism	METABOLISM
P31119	Bifunctional protein aas OS=Escherichia coli (strain K12) GN=aas PE=1 SV=2	aas	80.63057813	IQ	Lipid transport and metabolism	METABOLISM
P0A6E9	Putative dethiobiotin synthetase OS=Escherichia coli (strain K12) GN=ynfK PE=3 SV=1	bioD	24.94735565	H	Coenzyme transport and metabolism	METABOLISM
P29680	Uroporphyrinogen decarboxylase OS=Escherichia coli (strain K12) GN=hemE PE=1 SV=3	hemE	39.20489119	H	Coenzyme transport and metabolism	METABOLISM
P23871	Ferrochelatase OS=Escherichia coli (strain K12) GN=hemH PE=1 SV=3	hemH	35.84327231	H	Coenzyme transport and metabolism	METABOLISM
P0A752	Nicotinate-nucleotide adenylyltransferase OS=Escherichia coli (strain K12) GN=nadD PE=1 SV=1	nadD	24.49456589	H	Coenzyme transport and metabolism	METABOLISM
P0AFK2	Nicotinamide riboside transporter pnuC OS=Escherichia coli (strain K12) GN=pnuC PE=1 SV=1	pnuC	26.96025026	H	Coenzyme transport and metabolism	METABOLISM
P0AGG0	Thiamine-monophosphate kinase OS=Escherichia coli (strain K12) GN=thiL PE=3 SV=1	thiL	35.0306783	H	Coenzyme transport and metabolism	METABOLISM
P0A6I6	Phosphopantetheine adenylyltransferase OS=Escherichia coli (strain K12) GN=coaD PE=1 SV=1	coaD	17.80710425	H	Coenzyme transport and metabolism	METABOLISM
P26281	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase OS=Escherichia coli (strain K12) GN=folK PE=1 SV=3	folK	18.04936747	H	Coenzyme transport and metabolism	METABOLISM
P65870	6-carboxy-5,6,7,8-tetrahydropterin synthase OS=Escherichia coli (strain K12) GN=queD PE=1 SV=1	queD	13.74589403	H	Coenzyme transport and metabolism	METABOLISM
P76423	Hydroxyethylthiazole kinase OS=Escherichia coli (strain K12) GN=thiM PE=3 SV=1	thiM	27.30369195	H	Coenzyme transport and metabolism	METABOLISM
P25534	2-octaprenyl-6-methoxyphenol hydroxylase OS=Escherichia coli (strain K12) GN=ubiH PE=1 SV=2	ubiH	42.24358231	HC	Coenzyme transport and metabolism	METABOLISM
P0A731	Methylglyoxal synthase OS=Escherichia coli (strain K12) GN=mgsA PE=1 SV=1	mgsA	16.88974062	G	Carbohydrate transport and metabolism	METABOLISM
P37351	Ribose-5-phosphate isomerase B OS=Escherichia coli (strain K12) GN=rpiB PE=1 SV=2	rpiB	16.04525233	G	Carbohydrate transport and metabolism	METABOLISM
P56580	Glucitol/sorbitol-specific phosphotransferase enzyme IIB component OS=Escherichia coli (strain K12) GN=srlE PE=1 SV=1	srlE	33.29282514	G	Carbohydrate transport and metabolism	METABOLISM
P05804	Beta-glucuronidase OS=Escherichia coli (strain K12) GN=uidA PE=1 SV=2	uidA	68.38567522	G	Carbohydrate transport and metabolism	METABOLISM
Q6BF16	2-dehydro-3-deoxy-6-phosphogalactonate aldolase OS=Escherichia coli (strain K12) GN=dgoA PE=1 SV=1	dgoA	21.35905096	G	Carbohydrate transport and metabolism	METABOLISM
P31459	2-dehydro-3-deoxygalactonokinase OS=Escherichia coli (strain K12) GN=dgoK PE=4 SV=1	dgoK	31.33568041	G	Carbohydrate transport and metabolism	METABOLISM
P78055	Fructose-6-phosphate aldolase 1 OS=Escherichia coli (strain K12) GN=fsaA PE=1 SV=2	fsaA	22.96416327	G	Carbohydrate transport and metabolism	METABOLISM
P0AB87	L-fuculose phosphate aldolase OS=Escherichia coli (strain K12) GN=fucA PE=1 SV=1	fucA	23.74223723	G	Carbohydrate transport and metabolism	METABOLISM
P30147	Hydroxypyruvate isomerase OS=Escherichia coli (strain K12) GN=hyi PE=1 SV=1	hyi	29.34042935	G	Carbohydrate transport and metabolism	METABOLISM
P77257	Autoinducer 2 import ATP-binding protein LsrA OS=Escherichia coli (strain K12) GN=lsrA PE=1 SV=1	lsrA	55.76852443	G	Carbohydrate transport and metabolism	METABOLISM
P02916	Maltose transport system permease protein malF OS=Escherichia coli (strain K12) GN=malF PE=1 SV=1	malF	56.95859293	G	Carbohydrate transport and metabolism	METABOLISM
P69801	Mannose permease IIC component OS=Escherichia coli (strain K12) GN=manY PE=1 SV=1	manY	27.59968299	G	Carbohydrate transport and metabolism	METABOLISM
P0AEY8	Multidrug transporter MdfA OS=Escherichia coli (strain K12) GN=mdfA PE=1 SV=1	mdfA	44.27376747	G	Carbohydrate transport and metabolism	METABOLISM
P23200	Galactoside transport system permease protein mglC OS=Escherichia coli (strain K12) GN=mglC PE=1 SV=1	mglC	35.50923597	G	Carbohydrate transport and metabolism	METABOLISM
P75906	Poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase OS=Escherichia coli (strain K12) GN=pgaB PE=1 SV=1	pgaB	77.34620831	G	Carbohydrate transport and metabolism	METABOLISM
P0AGI1	Ribose transport system permease protein rbsC OS=Escherichia coli (strain K12) GN=rbsC PE=1 SV=1	rbsC	33.41239622	G	Carbohydrate transport and metabolism	METABOLISM
P36672	PTS system trehalose-specific EIIBC component OS=Escherichia coli (strain K12) GN=treB PE=1 SV=4	treB	51.02932585	G	Carbohydrate transport and metabolism	METABOLISM
P76350	Shikimate transporter OS=Escherichia coli (strain K12) GN=shiA PE=3 SV=1	shiA	47.76792342	G	Carbohydrate transport and metabolism	METABOLISM
P69822	Ascorbate-specific phosphotransferase enzyme IIB component OS=Escherichia coli (strain K12) GN=ulaB PE=1 SV=1	ulaB	10.87052282	G	Carbohydrate transport and metabolism	METABOLISM
P0AGI4	Xylose transport system permease protein xylH OS=Escherichia coli (strain K12) GN=xylH PE=1 SV=1	xylH	40.98602687	G	Carbohydrate transport and metabolism	METABOLISM
P45424	Uncharacterized protein yhcH OS=Escherichia coli (strain K12) GN=yhcH PE=1 SV=1	yhcH	17.0084626	G	Carbohydrate transport and metabolism	METABOLISM
P39363	Putative phosphotransferase IIA component sgcA OS=Escherichia coli (strain K12) GN=sgcA PE=3 SV=1	sgcA	15.60995994	GT	Carbohydrate transport and metabolism	METABOLISM
P15723	Deoxyguanosinetriphosphate triphosphohydrolase OS=Escherichia coli (strain K12) GN=dgt PE=1 SV=4	dgt	59.32747404	F	Nucleotide transport and metabolism	METABOLISM
P23331	Thymidine kinase OS=Escherichia coli (strain K12) GN=tdk PE=3 SV=1	tdk	23.4236654	F	Nucleotide transport and metabolism	METABOLISM
P08337	Mutator mutT protein OS=Escherichia coli (strain K12) GN=mutT PE=1 SV=1	mutT	14.89960803	F	Nucleotide transport and metabolism	METABOLISM
P77554	Uncharacterized protein yahJ OS=Escherichia coli (strain K12) GN=yahJ PE=4 SV=1	yahJ	50.49875607	FR	Nucleotide transport and metabolism	METABOLISM
P0AEI6	Phosphatase nudJ OS=Escherichia coli (strain K12) GN=nudJ PE=1 SV=1	nudJ	17.40364618	F	Nucleotide transport and metabolism	METABOLISM
Q46925	Cysteine sulfinate desulfinase OS=Escherichia coli (strain K12) GN=csdA PE=1 SV=1	csdA	43.18895647	E	Amino acid transport and metabolism	METABOLISM
P69908	Glutamate decarboxylase alpha OS=Escherichia coli (strain K12) GN=gadA PE=1 SV=1	gadA	52.63313916	E	Amino acid transport and metabolism	METABOLISM
P0A6T9	Glycine cleavage system H protein OS=Escherichia coli (strain K12) GN=gcvH PE=1 SV=2	gcvH	13.78463774	E	Amino acid transport and metabolism	METABOLISM
P0AC55	Nitrogen regulatory protein P-II 2 OS=Escherichia coli (strain K12) GN=glnK PE=1 SV=1	glnK	12.2336764	E	Amino acid transport and metabolism	METABOLISM
P24555	Protease 2 OS=Escherichia coli (strain K12) GN=ptrB PE=1 SV=2	ptrB	79.42233087	E	Amino acid transport and metabolism	METABOLISM
P16095	L-serine dehydratase 1 OS=Escherichia coli (strain K12) GN=sdaA PE=1 SV=3	sdaA	48.85713065	E	Amino acid transport and metabolism	METABOLISM
P23173	Low affinity tryptophan permease OS=Escherichia coli (strain K12) GN=tnaB PE=1 SV=1	tnaB	45.1630612	E	Amino acid transport and metabolism	METABOLISM
P52096	Uncharacterized protein yaeR OS=Escherichia coli (strain K12) GN=yaeR PE=4 SV=1	yaeR	14.7093447	E	Amino acid transport and metabolism	METABOLISM
P05041	Para-aminobenzoate synthase component 1 OS=Escherichia coli (strain K12) GN=pabB PE=1 SV=1	pabB	50.91963501	EH	Amino acid transport and metabolism	METABOLISM
P00805	L-asparaginase 2 OS=Escherichia coli (strain K12) GN=ansB PE=1 SV=2	ansB	36.80973585	EJ	Amino acid transport and metabolism	METABOLISM
P19636	Ethanolamine ammonia-lyase light chain OS=Escherichia coli (strain K12) GN=eutC PE=1 SV=2	eutC	31.74339396	E	Amino acid transport and metabolism	METABOLISM
P52094	Histidine transport system permease protein hisQ OS=Escherichia coli (strain K12) GN=hisQ PE=1 SV=2	hisQ	24.61527278	E	Amino acid transport and metabolism	METABOLISM
P33590	Nickel-binding periplasmic protein OS=Escherichia coli (strain K12) GN=nikA PE=1 SV=1	nikA	58.66418196	E	Amino acid transport and metabolism	METABOLISM
P16691	Protein PhnO OS=Escherichia coli (strain K12) GN=phnO PE=4 SV=1	phnO	16.54125134	E	Amino acid transport and metabolism	METABOLISM
P14176	Glycine betaine/L-proline transport system permease protein proW OS=Escherichia coli (strain K12) GN=proW PE=1 SV=1	proW	37.5773499	E	Amino acid transport and metabolism	METABOLISM
Q47622	Peptide transport periplasmic protein sapA OS=Escherichia coli (strain K12) GN=sapA PE=3 SV=1	sapA	61.50841287	E	Amino acid transport and metabolism	METABOLISM
P33913	Uncharacterized protein yejA OS=Escherichia coli (strain K12) GN=yejA PE=4 SV=3	yejA	69.60715057	E	Amino acid transport and metabolism	METABOLISM
P65807	Uncharacterized protein ygeY OS=Escherichia coli (strain K12) GN=ygeY PE=3 SV=1	ygeY	44.75701931	E	Amino acid transport and metabolism	METABOLISM
P28305	Aminodeoxychorismate lyase OS=Escherichia coli (strain K12) GN=pabC PE=1 SV=1	pabC	29.67793562	EH	Amino acid transport and metabolism	METABOLISM
P39359	Uncharacterized protein yjhH OS=Escherichia coli (strain K12) GN=yjhH PE=3 SV=2	yjhH	32.68294079	EM	Amino acid transport and metabolism	METABOLISM
P75798	Glutathione transport system permease protein gsiC OS=Escherichia coli (strain K12) GN=gsiC PE=1 SV=1	gsiC	34.02618337	EP	Amino acid transport and metabolism	METABOLISM
P0AFH6	Oligopeptide transport system permease protein oppC OS=Escherichia coli (strain K12) GN=oppC PE=1 SV=1	oppC	32.98233712	EP	Amino acid transport and metabolism	METABOLISM
P77360	Uncharacterized zinc-type alcohol dehydrogenase-like protein YphC OS=Escherichia coli (strain K12) GN=yphC PE=3 SV=2	yphC	38.00788118	ER	Amino acid transport and metabolism	METABOLISM
P76440	Uncharacterized oxidoreductase yeiT OS=Escherichia coli (strain K12) GN=yeiT PE=4 SV=1	preT	44.2834691	ER	Amino acid transport and metabolism	METABOLISM
P0AEN4	Cell division protein ftsL OS=Escherichia coli (strain K12) GN=ftsL PE=3 SV=1	ftsL	13.60025765	D	Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
P76055	tRNA 2-thiocytidine biosynthesis protein TtcA OS=Escherichia coli (strain K12) GN=ttcA PE=1 SV=1	ttcA	35.52002369	D	Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
Q47156	Antitoxin YafN OS=Escherichia coli (strain K12) GN=yafN PE=1 SV=1	yafN	11.20869015	D	Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
P76217	N-succinylglutamate 5-semialdehyde dehydrogenase OS=Escherichia coli (strain K12) GN=astD PE=1 SV=1	astD	52.97516476	C	Energy production and conversion	METABOLISM
P17445	Betaine aldehyde dehydrogenase OS=Escherichia coli (strain K12) GN=betB PE=1 SV=3	betB	52.85973742	C	Energy production and conversion	METABOLISM
P0AEL0	Formate dehydrogenase, cytochrome b556(fdo) subunit OS=Escherichia coli (strain K12) GN=fdoI PE=1 SV=1	fdoI	24.57212915	C	Energy production and conversion	METABOLISM
P0ABY4	Flavodoxin-2 OS=Escherichia coli (strain K12) GN=fldB PE=3 SV=1	fldB	19.66948877	C	Energy production and conversion	METABOLISM
P0AEP9	Glycolate oxidase subunit glcD OS=Escherichia coli (strain K12) GN=glcD PE=3 SV=1	glcD	53.759593	C	Energy production and conversion	METABOLISM
P0A996	Anaerobic glycerol-3-phosphate dehydrogenase subunit C OS=Escherichia coli (strain K12) GN=glpC PE=1 SV=1	glpC	44.06153167	C	Energy production and conversion	METABOLISM
P21345	Proton glutamate symport protein OS=Escherichia coli (strain K12) GN=gltP PE=1 SV=2	gltP	47.11082199	C	Energy production and conversion	METABOLISM
P03817	Protein mioC OS=Escherichia coli (strain K12) GN=mioC PE=1 SV=4	mioC	15.77990774	C	Energy production and conversion	METABOLISM
P65367	Uncharacterized protein yqcA OS=Escherichia coli (strain K12) GN=yqcA PE=3 SV=1	yqcA	16.24597352	C	Energy production and conversion	METABOLISM
P26459	Cytochrome bd-II oxidase subunit 1 OS=Escherichia coli (strain K12) GN=appC PE=1 SV=1	appC	57.86380187	C	Energy production and conversion	METABOLISM
P0ABJ3	Cytochrome o ubiquinol oxidase subunit 3 OS=Escherichia coli (strain K12) GN=cyoC PE=1 SV=1	cyoC	22.58945441	C	Energy production and conversion	METABOLISM
Q46839	Glycolate permease glcA OS=Escherichia coli (strain K12) GN=glcA PE=1 SV=1	glcA	58.86368758	C	Energy production and conversion	METABOLISM
P52074	Glycolate oxidase iron-sulfur subunit OS=Escherichia coli (strain K12) GN=glcF PE=4 SV=1	glcF	45.06330465	C	Energy production and conversion	METABOLISM
P69739	Hydrogenase-1 small chain OS=Escherichia coli (strain K12) GN=hyaA PE=1 SV=1	hyaA	40.63693027	C	Energy production and conversion	METABOLISM
P16431	Formate hydrogenlyase subunit 5 OS=Escherichia coli (strain K12) GN=hycE PE=1 SV=1	hycE	64.92075289	C	Energy production and conversion	METABOLISM
P33937	Periplasmic nitrate reductase OS=Escherichia coli (strain K12) GN=napA PE=1 SV=3	napA	92.96482882	C	Energy production and conversion	METABOLISM
P77611	Electron transport complex protein rnfC OS=Escherichia coli (strain K12) GN=rnfC PE=3 SV=1	rsxC	80.10392128	C	Energy production and conversion	METABOLISM
P77285	Electron transport complex protein rnfG OS=Escherichia coli (strain K12) GN=rnfG PE=3 SV=1	rsxG	21.88035735	C	Energy production and conversion	METABOLISM
P69054	Succinate dehydrogenase cytochrome b556 subunit OS=Escherichia coli (strain K12) GN=sdhC PE=1 SV=1	sdhC	14.27178771	C	Energy production and conversion	METABOLISM
P0AC44	Succinate dehydrogenase hydrophobic membrane anchor subunit OS=Escherichia coli (strain K12) GN=sdhD PE=1 SV=1	sdhD	12.84103993	C	Energy production and conversion	METABOLISM
P36560	Acid shock protein OS=Escherichia coli (strain K12) GN=asr PE=1 SV=3	asr	10.56675765	-		
P0AEC5	Signal transduction histidine-protein kinase BarA OS=Escherichia coli (strain K12) GN=barA PE=1 SV=1	barA	102.3699211	-		
P37659	Uncharacterized protein yhjU OS=Escherichia coli (strain K12) GN=yhjU PE=4 SV=1	bcsG	61.97443042	-		
P0AB40	Multiple stress resistance protein BhsA OS=Escherichia coli (strain K12) GN=bhsA PE=1 SV=1	bhsA	8.79153021	-		
P77330	Lipoprotein bor homolog from lambdoid prophage DLP12 OS=Escherichia coli (strain K12) GN=borD PE=3 SV=1	borD	10.42252736	-		
P0AE60	Cell division activator CedA OS=Escherichia coli (strain K12) GN=cedA PE=1 SV=2	cedA	9.35280035	-		
P64467	OriC-binding nucleoid-associated protein OS=Escherichia coli (strain K12) GN=cnu PE=1 SV=1	cnu	8.39329455	-		
P23840	DNA-damage-inducible protein D OS=Escherichia coli (strain K12) GN=dinD PE=4 SV=1	dinD	31.04103114	-		
P08191	Protein fimH OS=Escherichia coli (strain K12) GN=fimH PE=1 SV=2	fimH	31.43588856	-		
P0AC92	Protein gnsA OS=Escherichia coli (strain K12) GN=gnsA PE=3 SV=1	gnsA	6.55342733	-		
P0AES9	Chaperone-like protein hdeA OS=Escherichia coli (strain K12) GN=hdeA PE=1 SV=1	hdeA	11.8321397	-		
P0AAN1	Hydrogenase-2 operon protein hybE OS=Escherichia coli (strain K12) GN=hybE PE=1 SV=1	hybE	17.93387874	-		
P0AFM9	Phage shock protein B OS=Escherichia coli (strain K12) GN=pspB PE=1 SV=1	pspB	8.73960149	-		
P68191	Stationary-phase-induced ribosome-associated protein OS=Escherichia coli (strain K12) GN=sra PE=1 SV=1	sra	5.07475469	-		
P0AAQ2	Uncharacterized protein yajD OS=Escherichia coli (strain K12) GN=yajD PE=4 SV=1	yajD	13.33739409	-		
P37325	Uncharacterized protein ybcH OS=Escherichia coli (strain K12) GN=ybcH PE=4 SV=2	ybcH	33.01804379	-		
P0AAV6	Uncharacterized protein ybgS OS=Escherichia coli (strain K12) GN=ybgS PE=4 SV=1	ybgS	12.8459355	-		
P58094	Uncharacterized protein yciX OS=Escherichia coli (strain K12) GN=yciX PE=4 SV=2	yciX	6.31589466	-		
A5A614	UPF0509 protein yciZ OS=Escherichia coli (strain K12) GN=yciZ PE=3 SV=1	yciZ	6.41936264	-		
P64463	Putative selenoprotein ydfZ OS=Escherichia coli (strain K12) GN=ydfZ PE=1 SV=1	ydfZ	7.25375327	-		
P64476	Uncharacterized protein ydiH OS=Escherichia coli (strain K12) GN=ydiH PE=4 SV=2	ydiH	7.24381714	-		
P64479	Uncharacterized protein ydiZ OS=Escherichia coli (strain K12) GN=ydiZ PE=4 SV=1	ydiZ	10.84026976	-		
P46887	Uncharacterized protein yecH OS=Escherichia coli (strain K12) GN=yecH PE=4 SV=2	yecH	8.60513839	-		
P76471	Uncharacterized protein yfaZ OS=Escherichia coli (strain K12) GN=yfaZ PE=4 SV=2	yfaZ	18.58007438	-		
P65292	Uncharacterized lipoprotein ygdI OS=Escherichia coli (strain K12) GN=ygdI PE=4 SV=1	ygdI	8.15086723	-		
P64614	Uncharacterized protein YhcN OS=Escherichia coli (strain K12) GN=yhcN PE=3 SV=1	yhcN	9.1726045	-		
P0ADX5	Uncharacterized protein yhfG OS=Escherichia coli (strain K12) GN=yhfG PE=4 SV=1	yhfG	6.57651859	-		
P37615	Uncharacterized protein yhhM OS=Escherichia coli (strain K12) GN=yhhM PE=4 SV=1	yhhM	13.47002868	-		
Q2M7R5	Uncharacterized protein yibT OS=Escherichia coli (strain K12) GN=yibT PE=4 SV=1	yibT	7.97224394	-		
P18390	Uncharacterized protein yjjA OS=Escherichia coli (strain K12) GN=yjjA PE=4 SV=3	yjjA	17.32379744	-		
P64448	Uncharacterized protein ynbE OS=Escherichia coli (strain K12) GN=ynbE PE=4 SV=1	ynbE	6.81765486	-		
P76227	Uncharacterized protein ynjH OS=Escherichia coli (strain K12) GN=ynjH PE=4 SV=1	ynjH	9.9230098	-		
A5A621	Uncharacterized protein ypfM OS=Escherichia coli (strain K12) GN=ypfM PE=1 SV=1	ypfM	2.38824459	-		
P45795	Uncharacterized protein yrdB OS=Escherichia coli (strain K12) GN=yrdB PE=4 SV=1	yrdB	9.98260236	-		
P21361	Uncharacterized protein yciG OS=Escherichia coli (strain K12) GN=yciG PE=1 SV=1	yciG	5.98082158	-		
P23477	ATP-dependent helicase/deoxyribonuclease subunit B OS=Bacillus subtilis GN=addB PE=1 SV=2	addB	134.5415039	-		
P76445	Inner membrane protein yeiU OS=Escherichia coli (strain K12) GN=yeiU PE=1 SV=2	yeiU	26.72351423	-		
